Player Hand,Player Value,Banker Hand,Banker Value,Winner
K of Spades-3 of Clubs-J of Spades,3,2 of Spades-10 of Clubs-8 of Clubs,0,Player
7 of Diamonds-7 of Spades-Q of Clubs,4,10 of Spades-K of Hearts-4 of Spades,4,Tie
8 of Spades-Q of Diamonds,8,10 of Clubs-K of Clubs-3 of Diamonds,3,Player
A of Spades-K of Spades-Q of Diamonds,1,K of Spades-6 of Spades,6,Banker
K of Diamonds-7 of Diamonds,7,Q of Clubs-2 of Clubs-9 of Spades,1,Player
7 of Spades-10 of Clubs,7,10 of Clubs-2 of Clubs-8 of Hearts,0,Player
5 of Diamonds-7 of Hearts-10 of Spades,2,4 of Hearts-5 of Spades,9,Banker
6 of Diamonds-A of Spades,7,4 of Spades-7 of Hearts-9 of Spades,0,Player
K of Hearts-2 of Diamonds-8 of Hearts,0,6 of Clubs-5 of Spades-9 of Clubs,0,Tie
Q of Hearts-7 of Diamonds,7,8 of Diamonds-2 of Diamonds-A of Hearts,1,Player
2 of Hearts-A of Clubs-Q of Clubs,3,9 of Spades-8 of Hearts,7,Banker
3 of Diamonds-6 of Spades,9,3 of Spades-Q of Clubs-J of Spades,3,Player
J of Diamonds-3 of Diamonds-9 of Hearts,2,10 of Spades-7 of Spades,7,Banker
10 of Diamonds-3 of Spades-4 of Diamonds,7,7 of Diamonds-6 of Hearts-J of Hearts,3,Player
7 of Diamonds-5 of Spades-9 of Spades,1,6 of Spades-Q of Clubs,6,Banker
8 of Clubs-A of Hearts,9,2 of Diamonds-3 of Clubs-3 of Hearts,8,Player
4 of Spades-Q of Hearts-2 of Diamonds,6,10 of Hearts-6 of Diamonds,6,Tie
9 of Clubs-K of Clubs,9,Q of Spades-9 of Spades,9,Tie
10 of Diamonds-K of Diamonds-4 of Clubs,4,A of Spades-2 of Diamonds-K of Spades,3,Player
10 of Hearts-9 of Clubs,9,9 of Hearts-K of Hearts,9,Tie
7 of Spades-5 of Clubs-8 of Diamonds,0,10 of Diamonds-5 of Spades-6 of Hearts,1,Banker
Q of Hearts-J of Spades-A of Hearts,1,A of Clubs-Q of Hearts-7 of Clubs,8,Banker
A of Diamonds-3 of Spades-2 of Clubs,6,6 of Spades-9 of Diamonds-3 of Spades,8,Banker
A of Diamonds-4 of Hearts-K of Spades,5,5 of Clubs-10 of Hearts-2 of Clubs,7,Banker
Q of Diamonds-6 of Clubs,6,A of Spades-4 of Clubs-8 of Diamonds,3,Player
Q of Diamonds-A of Spades-9 of Diamonds,0,9 of Diamonds-A of Clubs-A of Diamonds,1,Banker
2 of Clubs-10 of Hearts-9 of Hearts,1,6 of Clubs-8 of Diamonds-8 of Spades,2,Banker
9 of Diamonds-J of Clubs,9,4 of Clubs-A of Hearts-K of Hearts,5,Player
3 of Hearts-5 of Hearts,8,4 of Diamonds-J of Clubs-9 of Hearts,3,Player
6 of Hearts-Q of Diamonds,6,K of Hearts-2 of Diamonds-5 of Diamonds,7,Banker
2 of Hearts-5 of Hearts,7,K of Clubs-10 of Spades-8 of Hearts,8,Banker
3 of Hearts-K of Clubs-J of Hearts,3,9 of Spades-7 of Hearts,6,Banker
5 of Diamonds-8 of Spades-5 of Hearts,8,J of Diamonds-9 of Diamonds,9,Banker
6 of Diamonds-10 of Spades,6,6 of Diamonds-K of Diamonds,6,Tie
9 of Clubs-8 of Clubs,7,5 of Hearts-J of Diamonds-5 of Spades,0,Player
3 of Hearts-8 of Spades-6 of Diamonds,7,J of Clubs-4 of Clubs-A of Clubs,5,Player
J of Diamonds-4 of Clubs-2 of Hearts,6,8 of Diamonds-Q of Spades,8,Banker
J of Hearts-5 of Hearts-10 of Hearts,5,6 of Hearts-K of Spades,6,Banker
7 of Spades-9 of Clubs,6,10 of Diamonds-K of Spades-8 of Spades,8,Banker
4 of Diamonds-J of Diamonds-7 of Spades,1,9 of Hearts-9 of Spades,8,Banker
2 of Clubs-4 of Hearts,6,9 of Hearts-8 of Clubs,7,Banker
3 of Hearts-K of Hearts-4 of Spades,7,A of Hearts-J of Diamonds-2 of Hearts,3,Player
6 of Diamonds-K of Diamonds,6,J of Hearts-4 of Clubs-Q of Spades,4,Player
3 of Clubs-7 of Clubs-4 of Diamonds,4,K of Clubs-10 of Spades-8 of Clubs,8,Banker
8 of Diamonds-7 of Hearts-6 of Clubs,1,5 of Diamonds-6 of Spades-9 of Hearts,0,Player
4 of Diamonds-8 of Hearts-Q of Hearts,2,2 of Spades-A of Hearts-A of Hearts,4,Banker
9 of Diamonds-5 of Diamonds-A of Hearts,5,2 of Hearts-J of Hearts-Q of Hearts,2,Player
J of Hearts-3 of Diamonds-8 of Spades,1,J of Spades-7 of Diamonds,7,Banker
2 of Diamonds-4 of Clubs,6,2 of Clubs-7 of Clubs,9,Banker
6 of Spades-9 of Hearts-8 of Hearts,3,3 of Diamonds-J of Spades-10 of Diamonds,3,Tie
A of Clubs-3 of Hearts-4 of Spades,8,6 of Clubs-A of Diamonds,7,Player
3 of Hearts-9 of Clubs-7 of Hearts,9,A of Diamonds-2 of Spades-9 of Spades,2,Player
K of Hearts-5 of Clubs-7 of Clubs,2,4 of Diamonds-8 of Diamonds-10 of Hearts,2,Tie
3 of Clubs-3 of Clubs,6,6 of Spades-J of Spades,6,Tie
A of Spades-5 of Diamonds,6,4 of Spades-10 of Diamonds-4 of Hearts,8,Banker
3 of Diamonds-9 of Clubs-6 of Hearts,8,4 of Spades-9 of Clubs-5 of Clubs,8,Tie
3 of Clubs-7 of Hearts-9 of Diamonds,9,8 of Diamonds-7 of Hearts-A of Diamonds,6,Player
Q of Clubs-K of Hearts-8 of Spades,8,9 of Spades-8 of Diamonds,7,Player
J of Diamonds-9 of Spades,9,3 of Diamonds-J of Hearts-5 of Diamonds,8,Player
5 of Diamonds-3 of Hearts,8,3 of Clubs-4 of Clubs,7,Player
K of Clubs-6 of Spades,6,K of Clubs-Q of Hearts-J of Spades,0,Player
9 of Hearts-2 of Diamonds-9 of Spades,0,7 of Hearts-7 of Spades-5 of Spades,9,Banker
K of Diamonds-9 of Hearts,9,J of Clubs-J of Spades-K of Spades,0,Player
4 of Hearts-3 of Spades,7,10 of Clubs-10 of Clubs-A of Spades,1,Player
A of Diamonds-2 of Spades-7 of Hearts,0,K of Spades-8 of Clubs,8,Banker
8 of Clubs-6 of Spades-7 of Spades,1,7 of Diamonds-K of Clubs,7,Banker
2 of Spades-Q of Spades-3 of Clubs,5,3 of Diamonds-7 of Spades-2 of Diamonds,2,Player
5 of Clubs-6 of Diamonds-6 of Diamonds,7,3 of Spades-J of Spades-9 of Diamonds,2,Player
7 of Diamonds-5 of Clubs-3 of Spades,5,Q of Clubs-A of Spades-6 of Hearts,7,Banker
10 of Spades-3 of Spades-Q of Hearts,3,A of Diamonds-8 of Hearts,9,Banker
8 of Hearts-9 of Spades,7,A of Spades-7 of Spades,8,Banker
Q of Clubs-J of Diamonds-8 of Hearts,8,K of Hearts-K of Clubs-2 of Hearts,2,Player
7 of Diamonds-5 of Diamonds-7 of Hearts,9,8 of Spades-6 of Hearts-3 of Spades,7,Player
8 of Clubs-10 of Diamonds,8,3 of Diamonds-6 of Spades,9,Banker
Q of Hearts-J of Hearts-10 of Spades,0,3 of Clubs-9 of Spades-Q of Diamonds,2,Banker
2 of Hearts-A of Hearts-9 of Diamonds,2,9 of Diamonds-8 of Hearts,7,Banker
7 of Clubs-Q of Clubs,7,3 of Clubs-7 of Hearts-Q of Clubs,0,Player
7 of Diamonds-3 of Spades-5 of Clubs,5,9 of Clubs-9 of Spades,8,Banker
J of Clubs-J of Spades-6 of Spades,6,10 of Spades-2 of Clubs-4 of Hearts,6,Tie
7 of Clubs-A of Hearts,8,8 of Clubs-6 of Diamonds-5 of Diamonds,9,Banker
4 of Hearts-5 of Diamonds,9,3 of Clubs-5 of Clubs,8,Player
Q of Diamonds-10 of Spades-6 of Diamonds,6,6 of Spades-9 of Hearts-J of Diamonds,5,Player
2 of Spades-9 of Clubs-8 of Spades,9,A of Spades-J of Clubs-A of Hearts,2,Player
A of Clubs-A of Diamonds-6 of Spades,8,A of Diamonds-8 of Hearts,9,Banker
6 of Hearts-9 of Clubs-6 of Hearts,1,A of Clubs-J of Spades-K of Spades,1,Tie
6 of Clubs-K of Clubs,6,Q of Spades-5 of Spades-5 of Clubs,0,Player
6 of Clubs-10 of Hearts,6,8 of Clubs-9 of Diamonds,7,Banker
A of Spades-8 of Spades,9,6 of Diamonds-2 of Diamonds,8,Player
J of Hearts-K of Hearts-4 of Spades,4,7 of Clubs-K of Hearts,7,Banker
7 of Clubs-K of Clubs,7,6 of Hearts-6 of Hearts-6 of Spades,8,Banker
3 of Diamonds-4 of Spades,7,7 of Diamonds-8 of Diamonds-6 of Diamonds,1,Player
4 of Spades-2 of Spades,6,10 of Hearts-K of Clubs-10 of Spades,0,Player
Q of Hearts-4 of Clubs-7 of Spades,1,J of Diamonds-J of Hearts-2 of Spades,2,Banker
5 of Hearts-6 of Clubs-K of Spades,1,Q of Diamonds-4 of Clubs-K of Diamonds,4,Banker
4 of Diamonds-2 of Diamonds,6,8 of Clubs-10 of Diamonds,8,Banker
3 of Hearts-9 of Clubs-9 of Clubs,1,Q of Spades-10 of Diamonds-K of Diamonds,0,Player
Q of Diamonds-10 of Diamonds-Q of Hearts,0,K of Spades-Q of Diamonds-3 of Hearts,3,Banker
8 of Hearts-2 of Hearts-Q of Diamonds,0,8 of Hearts-J of Clubs,8,Banker
10 of Hearts-9 of Clubs,9,10 of Diamonds-5 of Spades-5 of Diamonds,0,Player
9 of Diamonds-3 of Hearts-8 of Clubs,0,2 of Clubs-6 of Clubs,8,Banker
8 of Spades-J of Diamonds,8,A of Hearts-2 of Spades-9 of Hearts,2,Player
10 of Clubs-9 of Hearts,9,3 of Clubs-8 of Hearts-2 of Diamonds,3,Player
J of Hearts-9 of Hearts,9,5 of Diamonds-9 of Diamonds-2 of Hearts,6,Player
7 of Clubs-10 of Hearts,7,8 of Clubs-8 of Diamonds,6,Player
Q of Diamonds-Q of Hearts-10 of Diamonds,0,6 of Diamonds-7 of Hearts-J of Spades,3,Banker
J of Hearts-9 of Diamonds,9,J of Clubs-2 of Hearts-Q of Spades,2,Player
2 of Diamonds-4 of Diamonds,6,J of Clubs-4 of Diamonds-5 of Diamonds,9,Banker
4 of Diamonds-10 of Hearts-5 of Hearts,9,5 of Hearts-10 of Clubs-A of Spades,6,Player
A of Diamonds-7 of Spades,8,K of Spades-6 of Hearts,6,Player
3 of Diamonds-4 of Diamonds,7,3 of Hearts-8 of Diamonds-J of Diamonds,1,Player
J of Clubs-4 of Clubs-J of Clubs,4,2 of Hearts-A of Hearts-A of Clubs,4,Tie
5 of Hearts-J of Spades-7 of Clubs,2,6 of Hearts-6 of Spades-2 of Clubs,4,Banker
A of Clubs-A of Clubs-5 of Clubs,7,5 of Hearts-3 of Hearts,8,Banker
J of Spades-4 of Diamonds-8 of Diamonds,2,6 of Clubs-10 of Hearts,6,Banker
10 of Hearts-8 of Spades,8,K of Spades-5 of Spades-2 of Hearts,7,Player
J of Diamonds-2 of Clubs-7 of Spades,9,K of Diamonds-2 of Clubs-2 of Hearts,4,Player
Q of Clubs-4 of Diamonds-5 of Spades,9,10 of Diamonds-K of Spades-10 of Clubs,0,Player
4 of Spades-10 of Clubs-A of Hearts,5,7 of Hearts-7 of Hearts-J of Hearts,4,Player
Q of Hearts-4 of Hearts-4 of Hearts,8,4 of Spades-4 of Spades,8,Tie
K of Clubs-2 of Diamonds-2 of Clubs,4,6 of Clubs-4 of Diamonds-10 of Clubs,0,Player
3 of Clubs-K of Diamonds-8 of Spades,1,2 of Clubs-9 of Clubs-A of Diamonds,2,Banker
10 of Spades-4 of Spades-K of Hearts,4,2 of Spades-9 of Diamonds-A of Spades,2,Player
7 of Clubs-6 of Clubs-7 of Diamonds,0,4 of Hearts-K of Hearts-5 of Hearts,9,Banker
4 of Clubs-5 of Spades,9,7 of Clubs-7 of Hearts-6 of Clubs,0,Player
A of Diamonds-9 of Hearts-3 of Spades,3,3 of Diamonds-K of Diamonds-10 of Spades,3,Tie
10 of Hearts-5 of Spades-A of Clubs,6,K of Hearts-4 of Clubs-Q of Spades,4,Player
2 of Diamonds-K of Hearts-Q of Clubs,2,9 of Clubs-3 of Clubs-A of Diamonds,3,Banker
9 of Spades-Q of Hearts,9,3 of Diamonds-8 of Diamonds-9 of Hearts,0,Player
3 of Hearts-5 of Clubs,8,8 of Diamonds-4 of Hearts-3 of Hearts,5,Player
9 of Spades-8 of Diamonds,7,A of Clubs-10 of Diamonds-K of Diamonds,1,Player
A of Clubs-4 of Hearts-Q of Spades,5,2 of Spades-A of Hearts-A of Spades,4,Player
10 of Spades-5 of Hearts-5 of Clubs,0,5 of Hearts-3 of Spades,8,Banker
Q of Clubs-4 of Spades-J of Diamonds,4,A of Hearts-7 of Diamonds,8,Banker
J of Hearts-Q of Diamonds-4 of Clubs,4,6 of Diamonds-5 of Spades-3 of Diamonds,4,Tie
9 of Spades-4 of Hearts-5 of Diamonds,8,J of Diamonds-7 of Hearts,7,Player
